"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2000/01/01","00:00","1.417","0.715","0.6","0.377","0.367","0.135","0.059","-0.741","0"
"2000/02/01","00:00","1.358","0.771","0.689","0.449","0.451","0.213","0.154","-0.276","0"
"2000/03/01","00:00","0.889","0.2","0.105","-0.112","-0.13","-0.364","-0.42","-1.299","0"
"2000/04/01","00:00","0.702","0.157","0.069","-0.154","-0.156","-0.381","-0.43","-0.945","0"
"2000/05/01","00:00","1.027","0.623","0.515","0.299","0.295","0.075","0.01","-0.456","0"
"2000/06/01","00:00","1.601","1.102","0.994","0.771","0.771","0.548","0.472","-0.21","0"
"2000/07/01","00:00","2.188","1.198","1.073","0.83","0.817","0.561","0.463","-0.276","0"
"2000/08/01","00:00","4.803","1.093","0.942","0.719","0.643","0.344","0.203","-1.467","0"
"2000/09/01","00:00","2.064","1.293","1.152","0.883","0.876","0.6","0.505","-0.561","0"
"2000/10/01","00:00","1.939","1.119","0.984","0.725","0.714","0.443","0.374","-0.702","0"
"2000/11/01","00:00","1.621","0.564","0.417","0.197","0.18","-0.056","-0.154","-1.207","0"
"2000/12/01","00:00","1.168","0.243","0.125","-0.098","-0.098","-0.322","-0.4","-1.598","0"
"2001/01/01","00:00","1.053","0.541","0.42","0.217","0.203","-0.013","-0.075","-1.125","0"
"2001/02/01","00:00","1.433","0.719","0.62","0.367","0.361","0.102","0","-0.764","0"
"2001/03/01","00:00","0.387","-0.069","-0.154","-0.381","-0.389","-0.623","-0.673","-1.175","0"
"2001/04/01","00:00","1.014","0.184","0.095","-0.118","-0.128","-0.351","-0.41","-1.257","0"
"2001/05/01","00:00","0.676","0.338","0.223","0.013","0.011","-0.2","-0.272","-0.81","0"
"2001/06/01","00:00","1.316","0.846","0.728","0.509","0.509","0.289","0.203","-0.299","0"
"2001/07/01","00:00","2.329","1.171","1.053","0.843","0.82","0.587","0.505","-0.177","0"
"2001/08/01","00:00","2.976","1.621","1.467","1.188","1.171","0.876","0.787","-0.276","0"
"2001/09/01","00:00","1.772","1.22","1.106","0.863","0.843","0.581","0.492","-0.364","0"
"2001/10/01","00:00","1.949","0.702","0.574","0.331","0.313","0.052","0","-0.84","0"
"2001/11/01","00:00","1.427","0.669","0.531","0.292","0.299","0.066","-0.026","-0.906","0"
"2001/12/01","00:00","1.677","1.047","0.899","0.679","0.679","0.459","0.367","-0.666","0"
"2002/01/01","00:00","1.467","0.719","0.646","0.384","0.4","0.154","0.046","-1.122","0"
"2002/02/01","00:00","0.423","0.095","0","-0.249","-0.236","-0.472","-0.574","-1.45","0"
"2002/03/01","00:00","0.761","0.036","-0.079","-0.289","-0.333","-0.587","-0.627","-1.444","0"
"2002/04/01","00:00","2.644","0.558","0.387","0.128","0.108","-0.171","-0.23","-1.693","0"
"2002/05/01","00:00","0.988","0.233","0.154","-0.085","-0.077","-0.308","-0.413","-1.644","0"
"2002/06/01","00:00","1.873","0.951","0.846","0.627","0.623","0.4","0.328","-0.253","0"
"2002/07/01","00:00","3.091","1.542","1.378","1.152","1.099","0.82","0.794","-0.125","0"
"2002/08/01","00:00","3.98","1.814","1.65","1.385","1.35","1.05","0.971","-0.082","0"
"2002/09/01","00:00","2.388","1.562","1.46","1.158","1.165","0.869","0.768","-1.027","0"
"2002/10/01","00:00","4.072","1.086","0.978","0.597","0.655","0.331","0.197","-1.785","0"
"2002/11/01","00:00","1.138","0.443","0.305","0.072","0.069","-0.167","-0.282","-1.637","0"
"2002/12/01","00:00","1.831","1.119","1.004","0.781","0.774","0.545","0.427","-1.155","0"
"2003/01/01","00:00","1.444","0.528","0.387","0.171","0.156","-0.075","-0.167","-1.234","0"
"2003/02/01","00:00","0.63","0.079","-0.013","-0.259","-0.259","-0.505","-0.584","-1.801","0"
"2003/03/01","00:00","0.863","0.318","0.256","-0.007","0.008","-0.24","-0.305","-1.089","0"
"2003/04/01","00:00","1.306","0.61","0.512","0.269","0.269","0.026","-0.023","-0.617","0"
"2003/05/01","00:00","1.709","0.827","0.696","0.476","0.469","0.243","0.167","-0.653","0"
"2003/06/01","00:00","1.644","1.033","0.919","0.709","0.707","0.495","0.41","-0.335","0"
"2003/07/01","00:00","4.423","1.299","1.119","0.909","0.863","0.607","0.545","NaN","11"
"2003/08/01","00:00","3.707","1.673","1.512","1.283","1.194","0.876","0.823","-0.338","0"
"2003/09/01","00:00","3.031","1.726","1.604","1.302","1.316","1.027","0.873","-0.19","0"
"2003/10/01","00:00","2.172","0.817","0.705","0.436","0.408","0.112","-0.02","-1.453","0"
"2003/11/01","00:00","2.303","1.565","1.375","1.033","1.014","0.653","0.515","-0.509","11"
"2003/12/01","00:00","1.939","1.115","0.978","0.748","0.748","0.518","0.427","-0.466","0"
"2004/01/01","00:00","3.278","0.374","0.151","0.016","-0.102","-0.354","-0.325","-1.135","0"
"2004/02/01","00:00","0.856","0.509","0.413","0.154","0.161","-0.092","-0.184","-1.02","0"
"2004/03/01","00:00","1.506","0.846","0.745","0.509","0.5","0.256","0.161","-0.512","0"
"2004/04/01","00:00","1.056","0.669","0.597","0.361","0.359","0.121","0.052","-0.515","0"
"2004/05/01","00:00","1.381","0.696","0.581","0.364","0.359","0.138","0.059","-0.633","0"
"2004/06/01","00:00","1.416","1.115","1.01","0.804","0.799","0.587","0.509","0.102","0"
"2004/07/01","00:00","3.53","1.621","1.45","1.171","1.148","0.846","0.755","-0.383","0"
"2004/08/01","00:00","3.12","1.404","1.299","1.017","1.038","0.778","0.61","-0.515","0"
"2004/09/01","00:00","2.556","1.365","1.207","0.938","0.907","0.607","0.531","-0.702","0"
"2004/10/01","00:00","2.352","0.463","0.236","0.082","-0.034","-0.305","-0.308","-1.358","0"
"2004/11/01","00:00","0.948","0.135","0.007","-0.21","-0.226","-0.459","-0.541","-1.781","0"
"2004/12/01","00:00","0.617","0.023","-0.092","-0.305","-0.318","-0.545","-0.656","-1.352","0"
"2005/01/01","00:00","2.26","0.741","0.614","0.387","0.353","0.092","0.043","-0.925","0"
"2005/02/01","00:00","1.033","0.482","0.404","0.141","0.153","-0.098","-0.18","-0.735","0"
"2005/03/01","00:00","0.869","0.03","-0.039","-0.292","-0.277","-0.515","-0.604","-1.424","0"
"2005/04/01","00:00","0.81","0.41","0.289","0.079","0.061","-0.167","-0.24","-0.741","0"
"2005/05/01","00:00","0.709","0.308","0.197","-0.013","-0.018","-0.233","-0.312","-0.702","0"
"2005/06/01","00:00","1.102","0.702","0.6","0.387","0.392","0.184","0.098","-0.407","0"
"2005/07/01","00:00","2.608","1.266","1.155","0.889","0.892","0.63","0.541","-0.299","0"
"2005/08/01","00:00","2.406","1.407","1.325","1.017","1.05","0.774","0.64","-0.115","0"
"2005/09/01","00:00","2.595","0.912","0.817","0.505","0.533","0.249","0.148","-1.194","0"
"2005/10/01","00:00","1.919","0.856","0.725","0.443","0.463","0.2","0.066","-1.247","0"
"2005/11/01","00:00","1.332","0.364","0.23","-0.01","-0.011","-0.253","-0.331","-1.234","0"
"2005/12/01","00:00","1.122","0.486","0.348","0.131","0.107","-0.135","-0.2","-1.211","0"
"2006/01/01","00:00","1.427","0.997","0.889","0.643","0.636","0.384","0.325","-0.226","0"
"2006/02/01","00:00","2.444","1.138","0.997","0.781","0.733","0.469","0.374","-0.19","0"
"2006/03/01","00:00","0.755","0.141","0.052","-0.207","-0.223","-0.499","-0.545","-0.997","0"
"2006/04/01","00:00","0.846","0.404","0.322","0.069","0.077","-0.167","-0.233","-0.761","0"
"2006/05/01","00:00","1.217","0.577","0.44","0.236","0.226","0.013","-0.062","-0.653","0"
"2006/06/01","00:00","1.545","1.106","1.004","0.801","0.799","0.594","0.522","0.125","0"
"2006/07/01","00:00","2.172","1.316","1.227","0.981","0.971","0.715","0.653","-0.456","0"
"2006/08/01","00:00","2.346","1.22","1.129","0.86","0.835","0.541","0.459","-0.174","0"
