"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2000/01/01","00:00","6.768","5.246","4.393","2.602","2.616","0.84","-0.351","-1.795","0"
"2000/02/01","00:00","6.473","5.374","4.633","2.848","2.869","1.106","0.098","-1.381","0"
"2000/03/01","00:00","5.814","4.806","4.298","2.543","2.572","0.846","-0.03","-1.145","0"
"2000/04/01","00:00","5.538","4.682","4.275","2.503","2.544","0.814","-0.112","-0.64","0"
"2000/05/01","00:00","5.955","4.987","4.364","2.559","2.598","0.833","-0.213","-1.25","0"
"2000/06/01","00:00","6.539","5.476","4.662","2.838","2.879","1.096","-0.148","-1.631","0"
"2000/07/01","00:00","6.906","5.535","4.662","2.802","2.822","0.981","-0.256","-1.598","0"
"2000/08/01","00:00","6.591","5.397","4.695","2.841","2.864","1.033","0.007","-1.345","0"
"2000/09/01","00:00","5.896","5.243","4.757","2.972","2.994","1.23","0.449","-0.397","0"
"2000/10/01","00:00","5.932","5.108","4.672","2.907","2.943","1.214","0.249","-0.354","0"
"2000/11/01","00:00","5.912","5.049","4.439","2.641","2.7","0.961","-0.246","-1.237","0"
"2000/12/01","00:00","6.542","5.213","4.432","2.625","2.677","0.922","-0.413","-1.785","0"
"2001/01/01","00:00","7.316","5.344","4.528","2.733","2.761","0.994","-0.2","-1.621","0"
"2001/02/01","00:00","6.453","5.282","4.537","2.697","2.717","0.896","-0.115","-1.932","0"
"2001/03/01","00:00","6.316","5.062","4.514","2.723","2.762","1.01","0.121","-1.043","0"
"2001/04/01","00:00","5.413","4.751","4.222","2.405","2.452","0.682","-0.39","-0.886","0"
"2001/05/01","00:00","6.106","5.144","4.534","2.707","2.754","0.974","-0.223","-1.132","0"
"2001/06/01","00:00","6.453","5.335","4.514","2.69","2.728","0.942","-0.276","-1.532","0"
"2001/07/01","00:00","6.713","5.535","4.639","2.828","2.859","1.079","-0.164","-1.588","0"
