"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2000/01/01","00:00","3.009","2.139","2.06","1.027","1.053","0.046","-0.085","-0.433","0"
"2000/02/01","00:00","2.339","2.031","1.978","0.938","0.968","-0.043","-0.157","-0.577","0"
"2000/03/01","00:00","2.516","2.057","2.001","0.981","1.014","0.026","-0.095","-0.581","0"
"2000/04/01","00:00","2.362","2.123","2.057","1.02","1.053","0.049","-0.039","-0.545","0"
"2000/05/01","00:00","2.497","2.11","2.028","0.984","1.015","0.003","-0.112","-0.564","0"
"2000/06/01","00:00","2.717","2.303","2.231","1.175","1.198","0.164","0.03","-0.394","0"
"2000/07/01","00:00","2.91","2.487","2.441","1.365","1.385","0.328","0.21","-0.223","0"
"2000/08/01","00:00","2.917","2.457","2.408","1.335","1.358","0.308","0.2","-0.19","0"
"2000/09/01","00:00","3.284","2.733","2.68","1.608","1.635","0.591","0.499","0.131","0"
"2000/10/01","00:00","3.579","3.045","2.989","1.906","1.934","0.879","0.778","0.479","0"
"2000/11/01","00:00","3.146","2.595","2.53","1.473","1.496","0.463","0.338","-0.144","0"
"2000/12/01","00:00","2.907","2.29","2.218","1.198","1.224","0.23","0.098","-0.407","0"
"2001/01/01","00:00","2.585","1.936","1.867","0.837","0.869","-0.128","-0.253","-0.889","0"
"2001/02/01","00:00","2.123","1.788","1.719","0.696","0.728","-0.262","-0.361","-0.82","0"
"2001/03/01","00:00","2.802","1.946","1.873","0.85","0.876","-0.121","-0.253","-0.689","0"
"2001/04/01","00:00","2.329","1.942","1.88","0.86","0.887","-0.105","-0.226","-0.666","0"
"2001/05/01","00:00","2.805","2.365","2.303","1.25","1.276","0.249","0.141","-0.203","0"
"2001/06/01","00:00","2.375","1.985","1.867","0.827","0.842","-0.184","-0.279","-0.758","0"
"2001/07/01","00:00","2.687","2.08","2.005","0.991","1.017","0.03","-0.089","-0.338","0"
"2001/08/01","00:00","2.723","2.129","2.077","1.066","1.091","0.105","-0.007","-0.312","0"
"2001/09/01","00:00","3.34","2.48","2.411","1.391","1.416","0.42","0.322","-0.033","0"
"2001/10/01","00:00","3.366","2.881","2.825","1.778","1.811","0.797","0.725","0.141","0"
"2001/11/01","00:00","3.396","2.831","2.759","1.699","1.734","0.709","0.587","0.115","0"
"2001/12/01","00:00","2.661","2.372","2.3","1.247","1.276","0.253","0.128","-0.23","0"
"2002/01/01","00:00","2.461","1.808","1.729","0.692","0.723","-0.282","-0.42","-0.738","0"
"2002/02/01","00:00","2.933","2.133","2.077","1.04","1.076","0.075","-0.056","-0.558","0"
"2002/03/01","00:00","2.831","2.018","1.949","0.889","0.92","-0.108","-0.236","-0.794","0"
"2002/04/01","00:00","2.425","2.152","2.083","1.047","1.071","0.059","-0.049","-0.627","0"
"2002/05/01","00:00","3.196","2.244","2.159","1.132","1.153","0.148","0.01","-0.394","0"
"2002/06/01","00:00","2.69","2.405","2.323","1.312","1.334","0.344","0.217","-0.151","0"
"2002/07/01","00:00","2.385","2.103","2.031","1.053","1.083","0.135","0.003","-0.328","0"
"2002/08/01","00:00","3.251","2.474","2.425","1.424","1.445","0.466","0.354","0.03","0"
"2002/09/01","00:00","3.478","2.677","2.628","1.608","1.631","0.633","0.525","0.223","0"
"2002/10/01","00:00","3.248","2.825","2.759","1.716","1.74","0.722","0.6","0.092","0"
"2002/11/01","00:00","3.268","2.382","2.306","1.253","1.288","0.269","0.154","-0.443","0"
"2002/12/01","00:00","2.605","2.178","2.093","1.053","1.086","0.079","-0.062","-0.482","0"
"2003/01/01","00:00","2.395","1.913","1.844","0.807","0.848","-0.148","-0.299","-0.883","0"
"2003/02/01","00:00","2.228","1.673","1.614","0.617","0.648","-0.318","-0.466","-0.673","0"
"2003/03/01","00:00","2.858","2.034","1.975","0.951","0.981","-0.013","-0.135","-0.643","0"
"2003/04/01","00:00","3.228","2.329","2.26","1.227","1.257","0.253","0.121","-0.364","0"
"2003/05/01","00:00","2.726","2.116","2.018","1.014","1.042","0.066","-0.079","-0.574","0"
"2003/06/01","00:00","2.32","1.955","1.873","0.909","0.93","-0.013","-0.171","-0.6","0"
"2003/07/01","00:00","2.677","1.959","1.896","0.925","0.945","-0.007","-0.144","-0.44","0"
"2003/08/01","00:00","2.562","2.221","2.175","1.152","1.176","0.177","0.052","-0.41","0"
"2003/09/01","00:00","3.114","2.533","2.48","1.45","1.48","0.479","0.341","-0.233","0"
"2003/10/01","00:00","3.048","2.68","2.621","1.594","1.616","0.61","0.495","-0.056","0"
"2003/11/01","00:00","3.071","2.654","2.582","1.545","1.575","0.568","0.453","-0.197","0"
"2003/12/01","00:00","2.618","2.188","2.119","1.109","1.135","0.151","0.02","-0.65","0"
"2004/01/01","00:00","2.648","2.06","1.991","0.988","1.014","0.036","-0.115","-0.538","0"
"2004/02/01","00:00","2.831","2.087","2.011","1.007","1.035","0.059","-0.082","-0.659","0"
"2004/03/01","00:00","2.549","2.126","2.054","1.073","1.104","0.154","0.043","-0.535","0"
"2004/04/01","00:00","2.802","2.044","1.972","0.971","0.994","0.016","-0.108","-0.568","0"
"2004/05/01","00:00","2.533","2.014","1.946","0.948","0.976","0.007","-0.138","-0.512","0"
"2004/06/01","00:00","2.454","2.051","1.969","0.951","0.976","-0.016","-0.167","-0.551","0"
"2004/07/01","00:00","2.487","2.09","2.005","0.988","1.009","0.013","-0.148","-0.61","0"
"2004/08/01","00:00","2.582","2.083","2.031","1.02","1.043","0.056","-0.069","-0.407","0"
"2004/09/01","00:00","3.468","2.552","2.493","1.49","1.511","0.528","0.417","-0.131","0"
"2004/10/01","00:00","3.412","2.664","2.605","1.572","1.604","0.604","0.486","0","0"
"2004/11/01","00:00","3.143","2.533","2.467","1.453","1.48","0.492","0.371","-0.2","0"
"2004/12/01","00:00","2.333","2.057","1.969","0.988","1.015","0.062","-0.085","-0.873","0"
"2005/01/01","00:00","2.697","2.162","2.106","1.109","1.137","0.167","0.023","-0.722","0"
