"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2000/01/01","00:00","2.549","1.785","1.267","0.709","0.676","0.086","-0.115","-0.344","0"
"2000/02/01","00:00","2.129","1.624","1.191","0.597","0.581","-0.029","-0.184","-0.535","0"
"2000/03/01","00:00","1.939","1.637","1.299","0.689","0.679","0.059","-0.016","-0.184","0"
"2000/04/01","00:00","1.893","1.677","1.332","0.702","0.704","0.076","-0.069","-0.325","0"
"2000/05/01","00:00","2.402","1.857","1.418","0.774","0.758","0.099","-0.088","-0.341","0"
"2000/06/01","00:00","2.645","1.992","1.45","0.83","0.804","0.158","-0.059","-0.423","0"
"2000/07/01","00:00","2.812","2.038","1.48","0.847","0.827","0.174","-0.039","-0.446","0"
"2000/08/01","00:00","2.474","1.828","1.365","0.788","0.763","0.161","-0.013","-0.285","0"
"2000/09/01","00:00","2.09","1.775","1.44","0.856","0.843","0.246","0.148","-0.167","0"
"2000/10/01","00:00","2.074","1.752","1.404","0.768","0.756","0.108","-0.006","-0.275","0"
"2000/11/01","00:00","2.123","1.723","1.257","0.666","0.64","0.023","-0.151","-0.394","0"
"2000/12/01","00:00","2.435","1.87","1.365","0.771","0.74","0.115","-0.085","-0.466","0"
"2001/01/01","00:00","2.53","1.792","1.27","0.709","0.683","0.095","-0.108","-0.462","0"
"2001/02/01","00:00","2.599","1.844","1.437","0.797","0.786","0.135","-0.019","-0.328","0"
"2001/03/01","00:00","2.106","1.591","1.191","0.614","0.596","0","-0.128","-0.41","0"
"2001/04/01","00:00","2.024","1.703","1.28","0.696","0.668","0.056","-0.069","-0.344","0"
"2001/05/01","00:00","2.257","1.788","1.352","0.745","0.729","0.105","-0.069","-0.403","0"
"2001/06/01","00:00","2.376","1.89","1.388","0.765","0.745","0.102","-0.098","-0.476","0"
"2001/07/01","00:00","2.697","2.103","1.552","0.922","0.898","0.243","0.013","-0.223","0"
"2001/08/01","00:00","2.671","2.054","1.572","0.952","0.927","0.282","0.118","-0.315","0"
"2001/09/01","00:00","2.572","2.054","1.65","0.978","0.976","0.302","0.22","-0.029","0"
"2001/10/01","00:00","2.008","1.71","1.368","0.778","0.766","0.164","0.03","-0.187","0"
"2001/11/01","00:00","2.287","1.9","1.457","0.837","0.82","0.184","0.003","-0.305","0"
"2001/12/01","00:00","2.625","2.005","1.404","0.804","0.768","0.131","-0.098","-0.272","0"
"2002/01/01","00:00","2.582","2.034","1.45","0.817","0.788","0.125","-0.088","-0.4","0"
"2002/02/01","00:00","2.08","1.624","1.148","0.558","0.532","-0.085","-0.246","-0.607","0"
"2002/03/01","00:00","2.162","1.65","1.326","0.656","0.66","-0.006","-0.095","-0.374","0"
"2002/04/01","00:00","2.077","1.772","1.329","0.735","0.702","0.076","-0.065","-0.436","0"
"2002/05/01","00:00","2.316","1.778","1.257","0.669","0.635","0.013","-0.164","-0.403","0"
"2002/06/01","00:00","2.412","1.926","1.355","0.755","0.729","0.102","-0.108","-0.364","0"
"2002/07/01","00:00","2.366","1.864","1.329","0.752","0.72","0.112","-0.095","-0.298","0"
"2002/08/01","00:00","2.113","1.673","1.231","0.669","0.653","0.076","-0.111","-0.443","0"
"2002/09/01","00:00","2.507","2.126","1.7","1.04","1.024","0.348","0.263","-0.079","0"
"2002/10/01","00:00","2.435","2.215","1.762","1.073","1.073","0.384","0.279","0.02","0"
"2002/11/01","00:00","2.54","2.038","1.572","0.886","0.875","0.177","-0.006","-0.311","0"
"2002/12/01","00:00","2.576","2.005","1.421","0.768","0.74","0.059","-0.147","-0.446","0"
"2003/01/01","00:00","2.599","2.08","1.477","0.83","0.801","0.125","-0.085","-0.341","0"
"2003/02/01","00:00","2.398","1.719","1.234","0.62","0.596","-0.042","-0.184","-0.43","0"
"2003/03/01","00:00","2.244","1.887","1.559","0.902","0.902","0.246","0.148","-0.259","0"
"2003/04/01","00:00","2.205","1.762","1.427","0.82","0.814","0.2","0.063","-0.223","0"
"2003/05/01","00:00","2.622","2.087","1.559","0.978","0.95","0.341","0.145","-0.184","0"
"2003/06/01","00:00","3.081","2.444","1.837","1.165","1.137","0.437","0.233","-0.042","0"
"2003/07/01","00:00","2.894","2.284","1.673","1.06","1.029","0.384","0.187","-0.102","0"
"2003/08/01","00:00","2.73","2.339","1.877","1.221","1.199","0.522","0.348","0.122","0"
"2003/09/01","00:00","3.051","2.631","2.195","1.48","1.468","0.742","0.61","0.433","0"
"2003/10/01","00:00","2.95","2.572","2.064","1.352","1.327","0.591","0.46","-0.052","0"
"2003/11/01","00:00","2.92","2.267","1.696","1.03","1.007","0.318","0.138","-0.141","0"
"2003/12/01","00:00","2.461","1.88","1.372","0.791","0.765","0.158","-0.052","-0.489","0"
"2004/01/01","00:00","2.559","1.946","1.427","0.853","0.817","0.207","0.046","-0.403","0"
"2004/02/01","00:00","2.563","2.143","1.69","1.011","0.986","0.282","0.135","-0.151","0"
"2004/03/01","00:00","2.366","1.811","1.454","0.807","0.819","0.184","0.099","-0.115","0"
"2004/04/01","00:00","2.192","1.818","1.473","0.847","0.85","0.227","0.082","-0.289","0"
"2004/05/01","00:00","2.795","2.31","1.782","1.181","1.144","0.505","0.279","-0.085","0"
"2004/06/01","00:00","3.045","2.376","1.746","1.08","1.053","0.361","0.125","-0.334","0"
"2004/07/01","00:00","2.937","2.254","1.621","0.929","0.902","0.184","-0.029","-0.341","0"
"2004/08/01","00:00","2.953","2.136","1.624","0.965","0.943","0.263","0.102","-0.193","0"
"2004/09/01","00:00","2.448","2.241","1.857","1.139","1.119","0.381","0.243","-0.003","0"
"2004/10/01","00:00","2.835","2.346","1.89","1.221","1.196","0.502","0.358","0.102","0"
"2004/11/01","00:00","2.989","2.412","1.844","1.185","1.152","0.46","0.259","0.02","0"
"2004/12/01","00:00","2.923","2.33","1.706","1.044","1.009","0.312","0.095","-0.348","0"
"2005/01/01","00:00","2.871","2.159","1.588","0.952","0.924","0.259","0.056","-0.338","0"
"2005/02/01","00:00","2.69","2.146","1.65","1.007","0.981","0.312","0.174","-0.174","0"
"2005/03/01","00:00","2.503","1.982","1.627","0.955","0.952","0.276","0.164","-0.161","0"
"2005/04/01","00:00","2.231","1.854","1.378","0.771","0.747","0.115","-0.019","-0.239","0"
