"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2000/01/01","00:00","2.106","0.958","0.863","0.318","0.33","-0.203","-0.581","-2.425","0"
"2000/02/01","00:00","1.49","0.942","0.876","0.387","0.417","-0.043","-0.456","-1.339","0"
"2000/03/01","00:00","1.88","1.23","1.158","0.679","0.707","0.256","-0.141","-1.191","0"
"2000/04/01","00:00","1.975","1.26","1.171","0.696","0.689","0.207","-0.085","-1.06","0"
"2000/05/01","00:00","2.618","1.654","1.552","1.03","1.014","0.476","0.19","-0.308","0"
"2000/06/01","00:00","2.021","1.509","1.434","0.889","0.833","0.233","0.007","-1.01","0"
"2000/07/01","00:00","1.667","1.112","1.099","0.522","0.569","0.039","-0.39","-1.079","0"
"2000/08/01","00:00","1.535","1.109","1.033","0.591","0.586","0.138","-0.246","-0.62","0"
"2000/09/01","00:00","2.018","1.539","1.437","0.994","0.966","0.495","0.282","-0.938","0"
"2000/10/01","00:00","2.267","1.709","1.696","1.224","1.237","0.778","0.43","-0.207","0"
"2000/11/01","00:00","2.674","1.69","1.545","1.001","0.973","0.4","0.135","-1.699","0"
"2000/12/01","00:00","2.375","0.978","0.86","0.331","0.295","-0.269","-0.581","-2.208","0"
"2001/01/01","00:00","2.185","0.787","0.62","0.138","0.089","-0.443","-0.755","-1.991","0"
"2001/02/01","00:00","1.726","0.922","0.863","0.384","0.384","-0.095","-0.499","-1.722","0"
"2001/03/01","00:00","2.434","1.178","1.02","0.551","0.513","0.007","-0.308","-2.087","0"
"2001/04/01","00:00","2.313","1.677","1.568","1.066","1.06","0.551","0.249","-0.348","0"
"2001/05/01","00:00","2.569","1.493","1.437","0.912","0.933","0.43","0.164","-0.748","0"
"2001/06/01","00:00","3.399","1.48","1.352","0.856","0.807","0.262","-0.007","-0.906","0"
"2001/07/01","00:00","1.739","1.253","1.23","0.686","0.663","0.095","-0.207","-0.965","0"
"2001/08/01","00:00","2.077","1.437","1.411","0.889","0.909","0.407","0.033","-1.014","0"
"2001/09/01","00:00","2.362","1.765","1.686","1.224","1.224","0.761","0.43","0.039","0"
"2001/10/01","00:00","3.399","1.969","1.864","1.444","1.396","0.928","0.705","0.036","0"
"2001/11/01","00:00","2.5","1.722","1.683","1.175","1.137","0.591","0.348","-0.535","0"
"2001/12/01","00:00","2.126","1.404","1.365","0.771","0.764","0.164","-0.197","-1.394","0"
"2002/01/01","00:00","1.804","0.965","0.922","0.344","0.4","-0.121","-0.64","-2.251","0"
"2002/02/01","00:00","1.936","1.033","0.922","0.427","0.394","-0.135","-0.443","-1.903","0"
"2002/03/01","00:00","2.733","1.444","1.335","0.85","0.853","0.371","-0.01","-1.007","0"
"2002/04/01","00:00","2.395","1.663","1.575","1.05","1.02","0.466","0.2","-0.669","0"
"2002/05/01","00:00","2.3","1.913","1.795","1.234","1.237","0.679","0.377","-0.6","0"
"2002/06/01","00:00","2.408","1.804","1.729","1.211","1.135","0.541","0.318","-0.463","0"
"2002/07/01","00:00","2.234","1.339","1.293","0.801","0.766","0.24","-0.026","-0.689","0"
"2002/08/01","00:00","2.53","1.654","1.644","1.168","1.176","0.709","0.384","-0.489","0"
"2002/09/01","00:00","3.953","2.402","2.395","1.857","1.857","1.319","1.122","0.079","0"
"2002/10/01","00:00","2.927","2.031","1.985","1.499","1.468","0.951","0.705","0.174","0"
"2002/11/01","00:00","2.772","1.434","1.375","0.817","0.822","0.269","-0.016","-1.165","0"
"2002/12/01","00:00","2.28","1.073","0.988","0.446","0.415","-0.157","-0.512","-1.827","0"
"2003/01/01","00:00","1.43","0.869","0.814","0.207","0.235","-0.344","-0.758","-2.323","0"
"2003/02/01","00:00","1.831","1.161","1.033","0.554","0.513","-0.007","-0.325","-1.463","0"
"2003/03/01","00:00","2.316","1.434","1.332","0.837","0.845","0.358","0.003","-0.728","0"
"2003/04/01","00:00","2.024","1.312","1.22","0.732","0.723","0.226","-0.082","-1.03","0"
"2003/05/01","00:00","2.054","1.503","1.421","0.906","0.85","0.279","0.059","-1.207","0"
"2003/06/01","00:00","2.687","1.424","1.365","0.791","0.71","0.056","-0.184","-1.083","0"
"2003/07/01","00:00","5.249","1.575","1.532","0.958","0.915","0.299","0.036","-0.843","0"
"2003/08/01","00:00","3.228","1.375","1.388","0.853","0.901","0.413","0.013","-1.411","0"
"2003/09/01","00:00","2.976","2.1","2.044","1.565","1.539","1.033","0.751","0.108","0"
